Tag,Sum,Frequency,Sum Rank,Frequency Rank
rock,212746,4673,1,1
alternative,133865,4177,2,2
favorites,20409,3999,24,3
Awesome,16402,3699,33,4
pop,85599,3548,5,5
Love,21233,3183,22,6
alternative rock,89102,3133,4,7
indie,127207,3098,3,8
beautiful,26274,2787,16,10
seen live,12206,2787,51,10
male vocalists,12639,2689,49,11
american,19471,2585,26,12
Favorite,8074,2540,70,13
Favourites,6922,2334,84,14
chill,13513,2262,46,15
indie rock,67970,2222,7,16
00s,15330,2220,41,17
chillout,23056,2054,19,18
favorite songs,5764,2037,98,19
electronic,79367,2005,6,20
hard rock,35021,1960,12,21
epic,10754,1945,57,22
love at first listen,16034,1909,37,23
cool,5339,1903,107,24
british,50098,1894,9,25
amazing,6961,1878,83,26
Mellow,17440,1872,28,27
favourite,4816,1852,114,28
classic rock,62283,1800,8,29
male vocalist,5145,1701,111,30
dance,28779,1629,14,31
catchy,7521,1618,75,32
loved,4183,1589,127,33
classic,5965,1572,97,34
guitar,6378,1568,89,35
metal,47999,1476,10,36
pop rock,9612,1458,62,37
sad,10339,1403,60,38
melancholy,10177,1387,61,39
party,7071,1375,82,40
indie pop,21053,1362,23,41
experimental,16916,1360,30,42
FUCKING AWESOME,4970,1358,113,43
sexy,7329,1338,79,44
singer-songwriter,21321,1329,21,45
Favourite Songs,3301,1309,149,46
90s,25057,1302,17,47
10s,17196,1278,29,48
melancholic,7716,1263,73,49
8 of 10 stars,3640,1222,139,50
happy,7333,1203,78,51
female vocalists,43211,1185,11,52
fun,5165,1164,110,53
electronica,15318,1156,42,54
summer,6270,1137,92,55
2000s,2876,1131,162,57
Progressive rock,21495,1131,20,57
UK,4503,1128,121,58
acoustic,19937,1114,25,59
psychedelic,14964,1110,43,60
10 of 10 stars,3544,1091,141,61
punk,16321,1074,36,62
heavy metal,23592,1065,18,63
upbeat,3740,1042,135,64
Love it,2947,1018,160,65
memories,2596,1014,183,66
Soundtrack,11528,1008,53,67
80s,33024,1006,13,68
6 of 10 stars,3065,974,156,69
britpop,14299,954,45,70
USA,2355,946,190,71
dark,4250,945,125,72
atmospheric,5517,929,104,73
ambient,15789,901,38,74
easy listening,3652,891,138,75
Dreamy,5691,882,99,76
female vocalist,6048,880,96,77
relax,3395,876,145,78
great lyrics,2634,869,179,80
oldies,9005,869,67,80
2010s,7400,868,76,81
folk,28545,864,15,82
fav,2595,860,184,83
